Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions
3975392755164484097,0.003076161104474416,2330.27031414,0.09520516173523122,-inf,0.2799343903772553,512,1829
3976088733682659585,0.015678297016249745,5901.15009982,0.14072490358441417,-2.874630817470982,0.43567874911158494,1226,2814
3977078013600312321,0.00365669434286628,4622.351437599999,0.08962888162540021,-21.915243516761546,0.32642487046632124,1638,5018
3977116548751698176,0.0,603.98050076,0.030023743904114053,-1.7803974283643587,0.28078817733990147,456,1624
3977234346014419201,0.0809044873020237,2427.2928308600003,0.3047358693024749,0.0,0.39759036144578314,33,83
3978449781300392193,0.005004652221890548,5888.6560088,0.12184255969003403,-0.42761688902502404,0.4387755102040816,344,784
3981810242465907713,0.02208647364204316,2836.47282999,0.19707291093117776,-1.1115742698397437,0.11428571428571428,12,105
3983074113875692800,0.05388525807589718,2424.8295199599997,0.36019860968207074,0.0,0.32558139534883723,14,43
3986814617275053313,0.0,16337.46188064,0.32978656861679667,-0.00014890821565723272,0.7822172200337648,2780,3554
3987739404272887297,0.01097972974419397,12464.6063154,0.049882502411106325,-0.3105022736974282,0.22826446280991736,1381,6050
3988071780777702657,0.0,3424.4699222,0.03734100763871833,-4.931946959986149,0.3731656184486373,890,2385
3988187872032603905,0.00702522921311856,2599.7616706199997,0.09370312131348814,-0.9307964211004371,0.3266513936617029,1711,5238
3988205565930333696,0.006678486696524218,3283.93800993,0.07394235302005198,-0.42951500624224204,0.38005390835579517,141,371
3991414786174551297,0.012611701406378972,1787.9877156900002,0.12201028159519588,-inf,0.2990353697749196,93,311
3993014919980212480,0.009226812644379846,3078.6630103899997,0.14095234412741464,-0.22468447552413576,0.4762589928057554,331,695
3993222640082269952,0.004725030145820496,1884.46844302,0.09188282957686447,-0.4199211738993379,0.4645286686103013,1434,3087
3994879592543698688,0.016626314494401138,3658.7650624,0.11938359825784213,-0.15688277533451628,0.552833078101072,361,653
3995532094997544704,0.0,-12346.682218599999,-0.06424753066795914,-8.237696232767487,0.21401421252685507,1295,6051
3996598927198996481,0.02134207501832892,3509.04461888,0.11340118610445403,-0.31080196506866514,0.368282600526118,980,2661
3998572645139652353,0.009334944510741634,9603.58535988,0.2622908622566452,-0.08120905576797817,0.35714285714285715,95,266
3998659472131949824,0.006149103292757451,1449.32593976,0.3824381523639125,0.0,0.4897959183673469,72,147
3999240873283311617,0.0,42574.473678790004,0.22750533430745368,-0.05281634002779028,0.5232198142414861,2366,4522
3999845462424248576,0.0,5843.152606810001,0.2259346608054272,-0.27052287154718124,0.4349005424954792,1443,3318
4000222729738650369,0.014154285889776944,1803.62013328,0.2480855985599212,-0.6107246617347706,0.5605427974947808,537,958
4000877324693233921,-0.0001656777400394658,-836.1005588599955,-0.002327244153693271,-inf,0.44859504132231404,2714,6050
4002413037164645377,0.0,3686.9697606,0.1257825271320603,-0.04657218257681305,0.1857638888888889,107,576
4004410127575640832,0.012082443058399613,2905.76386668,0.1890782355470023,-44.06172678340364,0.34516765285996054,175,507
4004713168329653760,0.062221093097200995,1667.19861,0.27741111207010244,0.0,0.07407407407407407,2,27
4006366295148391425,0.0,3018.5418056999997,0.090978276633955,-0.7095418766339384,0.17180616740088106,117,681
4008537296438699777,0.012631880267827755,2330.84564531,0.10757234012134224,-inf,0.4654205607476635,249,535
4008711265867865600,0.0061630129011014875,11298.706389769999,0.2662895922745807,-0.05269760629005901,0.4213197969543147,166,394
4008804082027254529,0.0,3332.7334588699996,0.03869432969567709,-1.78892017702696,0.5405128205128205,527,975
4011626972687000576,0.0,5483.14982082,0.07725671532102782,-0.5939680090318431,0.38408190224570676,2326,6056
4012994295026226176,0.030485573930271688,2500.33664614,0.21500005019192853,-0.7777886641819736,0.4003189792663477,251,627
4013955990069013504,0.014172400556681373,1690.02704985,0.22928330457914467,-4.912135152563195,0.659217877094972,236,358
4013978721149559808,0.0,3778.8782239800003,0.16218865991701376,0.0,0.20748299319727892,61,294
4014818740371615232,0.004571926668284599,2013.6475100900002,0.1911128490456643,-0.7396794414190835,0.20982986767485823,111,529
4016164457907769600,0.0025089468267820414,3742.6873197200002,0.15754416905045315,-7.479905437352246,0.4353932584269663,310,712
4017110277719148289,0.009422089390865395,2899.93302141,0.39402569727778675,0.0,0.5674603174603174,143,252
